2020-04-23 14:40:49.197 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.sjkcxx.SjkcxxApplicationTests], using SpringBootContextLoader
2020-04-23 14:40:49.210 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.sjkcxx.SjkcxxApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-23 14:40:49.212 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.sjkcxx.SjkcxxApplicationTests]: SjkcxxApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-23 14:40:49.567 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.sjkcxx.SjkcxxApplication for test class com.sjkcxx.SjkcxxApplicationTests
2020-04-23 14:40:49.792 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-23 14:40:49.842 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@503f91c3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13526e59, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2235eaab, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@17503f6b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3bcd05cb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3b6d844d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@36804139, org.springframework.test.context.event.EventPublishingTestExecutionListener@20bd8be5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@730d2164, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@24959ca4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@10289886, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5c86dbc5, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@461ad730]
2020-04-23 14:40:51.164 [main] INFO  com.sjkcxx.SjkcxxApplicationTests - Starting SjkcxxApplicationTests on duant with PID 17452 (started by Administrator in F:\java\Intellij\work\sjkcxx)
2020-04-23 14:40:51.169 [main] INFO  com.sjkcxx.SjkcxxApplicationTests - No active profile set, falling back to default profiles: default
2020-04-23 14:41:00.203 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-23 14:41:00.719 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-04-23 14:41:02.047 [main] INFO  com.sjkcxx.SjkcxxApplicationTests - Started SjkcxxApplicationTests in 12.082 seconds (JVM running for 15.334)
2020-04-23 14:41:04.650 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
